Trip_ID,Driver_ID,Vehicle_ID,Trip_Date,Start_Time,End_Time,Duration_Min,Distance_KM,Avg_Speed_kmph,Max_Speed_kmph,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,minutes,moving_minutes,overspeed_minutes,severe_overspeed_minutes,harsh_horiz_minutes,yaw_minutes,z_bump_minutes,mean_horiz_g,p95_speed,cruise_vib,cruise_minutes,cruise_vib_mean,cruise_gyro_mean,overspeed_per_100km,harsh_horiz_per_100km,yaw_per_100km,z_bump_per_100km,severe_overspeed_per_100km,overspeed_share
T00001,D01,V01,2026-08-04,11:08:00,11:24:00,16,9.34,28.7,39.4,12.991693,77.559009,13.011179,77.6074,16,16,0,0,2,1,1,0.135420237676282,38.275,,13,0.054649813066087044,2.760923758454768,0.0,21.413276231263385,10.706638115631693,10.706638115631693,0.0,0.0
T00002,D01,V01,2026-08-02,20:38:00,21:00:00,22,5.0,28.5,54.4,13.00079,77.560607,13.038001,77.563879,22,19,3,1,0,1,1,0.06924402445769572,46.495,,13,0.02799049248230346,3.1671280365656203,60.0,0.0,20.0,20.0,20.0,0.15789473684210525
T00003,D01,V01,2026-07-31,21:11:00,21:38:00,27,7.25,16.9,32.7,12.983049,77.554049,12.949627,77.52124,27,24,0,0,4,1,4,0.15864587233999553,29.43,,17,0.05814924957843282,3.442165016381405,0.0,55.172413793103445,13.793103448275861,55.172413793103445,0.0,0.0
T00004,D01,V01,2026-07-31,17:36:00,18:18:00,42,9.27,23.9,40.4,12.974957,77.549494,12.987157,77.479689,42,42,0,0,1,5,3,0.12355437346810079,32.595,,38,0.04393715367315792,3.507206230850753,0.0,10.787486515641856,53.937432578209275,32.36245954692557,0.0,0.0
T00005,D01,V01,2026-08-01,17:06:00,17:19:00,13,7.74,28.7,42.5,12.997466,77.547647,12.997395,77.504517,13,13,1,0,1,1,3,0.15552032817193429,42.32,,8,0.07633233363473216,3.3004958817565493,12.919896640826872,12.919896640826872,12.919896640826872,38.75968992248062,0.0,0.07692307692307693
T00006,D01,V01,2026-08-05,10:35:00,10:54:00,19,11.26,21.7,33.4,12.997977,77.551773,13.068164,77.57159,19,18,0,0,3,1,1,0.17093434716980435,31.599999999999994,,14,0.060645735350652326,3.7527381649502054,0.0,26.642984014209592,8.880994671403197,8.880994671403197,0.0,0.0
T00007,D01,V01,2026-08-03,11:32:00,11:47:00,15,6.2,20.0,38.2,12.992633,77.564429,13.022862,77.538041,15,14,0,0,1,0,1,0.12766072464594702,31.059999999999988,,12,0.04930522252238265,3.1769687936121236,0.0,16.129032258064516,0.0,16.129032258064516,0.0,0.0
T00008,D01,V01,2026-08-04,15:03:00,15:44:00,41,14.97,25.3,41.7,12.980346,77.556282,12.921142,77.64436,41,39,0,0,1,4,4,0.1053074491661899,38.1,,30,0.06599075303532206,3.2680728264626686,0.0,6.68002672010688,26.72010688042752,26.72010688042752,0.0,0.0
T00009,D01,V01,2026-08-06,12:00:00,12:31:00,31,17.09,23.8,42.3,12.999075,77.541607,13.028601,77.450753,31,30,0,0,6,1,5,0.19521661468012652,41.75,,19,0.10756108009667224,2.786054557972618,0.0,35.108250438853126,5.851375073142188,29.256875365710943,0.0,0.0
T00010,D01,V01,2026-08-05,10:32:00,11:05:00,33,16.27,30.6,47.5,12.996834,77.568587,13.017821,77.682427,33,32,3,0,0,1,3,0.08883479777077466,46.32,,19,0.03246773845841766,3.1781913095344025,18.43884449907806,0.0,6.146281499692686,18.43884449907806,0.0,0.09375
T00011,D01,V01,2026-08-03,06:16:00,06:57:00,41,23.39,22.8,33.9,13.00117,77.560708,13.161872,77.558504,41,41,0,0,3,1,3,0.12101386762515332,32.5,,37,0.04969534674632267,3.2176699644307836,0.0,12.825994014536127,4.275331338178709,12.825994014536127,0.0,0.0
T00012,D01,V01,2026-08-05,12:12:00,12:41:00,29,11.69,32.1,45.8,12.993387,77.568616,13.044252,77.626447,29,28,4,0,1,0,4,0.091545699279596,44.32,,10,0.0368237252831348,2.4302419763200827,34.217279726261765,8.554319931565441,0.0,34.217279726261765,0.0,0.14285714285714285
T00013,D01,V01,2026-08-01,18:52:00,19:29:00,37,14.92,28.1,47.0,12.996354,77.56434,12.916501,77.634517,37,35,2,0,1,3,4,0.11286008224444385,41.43999999999999,,23,0.049556842601625004,3.2797560884919474,13.404825737265416,6.702412868632708,20.10723860589812,26.80965147453083,0.0,0.05714285714285714
T00014,D01,V01,2026-08-05,11:27:00,11:51:00,24,16.29,29.5,45.0,12.983048,77.560273,12.893771,77.525901,24,22,1,0,1,4,2,0.11764851619697281,39.019999999999996,,15,0.04781643923172887,4.1851523269768816,6.138735420503377,6.138735420503377,24.554941682013506,12.277470841006753,0.0,0.045454545454545456
T00015,D01,V01,2026-08-01,07:31:00,08:08:00,37,14.69,19.9,47.2,12.987554,77.54997,12.935055,77.46639,37,32,1,0,2,3,1,0.11419956676230401,35.599999999999994,,22,0.03820780685038437,3.7944399506707596,6.8073519400953035,13.614703880190607,20.42205582028591,6.8073519400953035,0.0,0.03125
T00016,D02,V02,2026-08-02,17:34:00,17:48:00,14,6.21,23.1,44.7,12.911694,77.651834,12.923331,77.685931,14,10,2,0,0,0,4,0.1434401151025812,43.335,,7,0.23125210591474457,3.5709102481020163,32.2061191626409,0.0,0.0,64.4122383252818,0.0,0.2
T00017,D02,V02,2026-08-06,12:34:00,12:59:00,25,9.63,22.8,38.0,12.90325,77.648643,12.867285,77.701946,25,24,0,0,0,1,6,0.1333750179928786,37.54,,13,0.08018261107437916,3.864000517598309,0.0,0.0,10.384215991692626,62.30529595015576,0.0,0.0
T00018,D02,V02,2026-08-06,07:24:00,07:49:00,25,19.0,22.2,33.7,12.925859,77.64112,13.020884,77.699906,25,25,0,0,0,1,6,0.11593385111905842,31.98,,20,0.1101892552975358,2.8397722969977854,0.0,0.0,5.263157894736842,31.57894736842105,0.0,0.0
T00019,D02,V02,2026-08-01,16:47:00,17:07:00,20,6.61,16.9,31.5,12.911947,77.642966,12.913443,77.593752,20,16,0,0,0,0,5,0.11080989675666082,29.6,,12,0.05438086518336712,3.2034668868678784,0.0,0.0,0.0,75.642965204236,0.0,0.0
T00020,D02,V02,2026-08-05,07:47:00,08:30:00,43,9.39,21.7,44.1,12.912162,77.646102,12.911781,77.571979,43,39,1,0,1,0,12,0.12792851144193665,36.03,,30,0.14592817176571835,3.471473445875765,10.649627263045792,10.649627263045792,0.0,127.79552715654951,0.0,0.02564102564102564
