Vehicle_ID,Vehicle_Type,Make,Model,Manufacture_Year,Registration_Date,Odometer_KM_Start_of_Week,Last_Service_Date,trips,km,drivers,z_bump_per_100km,cruise_minutes,cruise_vibration_g,cruise_gyro_dps,cruise_z_dev,cruise_bump_rate,vehicle_age_years,days_since_service,rk_service,rk_odo,rk_age,rk_vib,rk_gyro,rk_bump,maintenance_risk,health_score,health_band,top_contributor,p33_risk,p67_risk,why
V02,Two-Wheeler (Scooter/Motorcycle),TVS,Raider,2021,2021-03-26,46601,2026-05-06,16,199.22,2,64.6744602120069,303,0.1018614063061588,3.30842863002967,0.09883828382838283,0.3069306930693069,5,92,100.0,100.0,66.66666666666666,100.0,93.33333333333333,100.0,95.2,4.799999999999997,Maintenance Required,days since last service,36.02222222222222,65.43333333333334,"V02 (TVS Raider, 2021) health 4.8/100 → Maintenance Required. Bands are fleet tertiles of maintenance risk (Healthy if risk ≤ 36.0, Maintenance Required if risk > 65.4). Largest contributor: days since last service. Odometer 46601 km; 92 days since service (2026-05-06); cruise vibration 0.1019 g; cruise gyro 3.31 deg/s; vertical bumps 64.67/100 km; 2 driver(s) this week."
V12,Two-Wheeler (Scooter/Motorcycle),TVS,Ntorq,2020,2020-04-09,31966,2026-06-09,15,168.85,1,12.282477354612517,203,0.06091849849219439,3.196779629564728,0.04354679802955664,0.06896551724137931,6,58,93.33333333333333,96.66666666666667,85.0,86.66666666666667,56.666666666666664,63.33333333333333,82.86666666666665,17.133333333333354,Maintenance Required,odometer at week start,36.02222222222222,65.43333333333334,"V12 (TVS Ntorq, 2020) health 17.1/100 → Maintenance Required. Bands are fleet tertiles of maintenance risk (Healthy if risk ≤ 36.0, Maintenance Required if risk > 65.4). Largest contributor: odometer at week start. Odometer 31966 km; 58 days since service (2026-06-09); cruise vibration 0.0609 g; cruise gyro 3.20 deg/s; vertical bumps 12.28/100 km; 1 driver(s) this week."
V01,Two-Wheeler (Scooter/Motorcycle),Yamaha,Ray ZR,2021,2021-04-23,22820,2026-06-08,15,185.37,1,23.290986869950423,290,0.05285757115128081,3.2680728264626686,0.04118965517241378,0.0896551724137931,5,59,96.66666666666667,83.33333333333334,66.66666666666666,70.0,80.0,93.33333333333333,82.33333333333333,17.66666666666667,Maintenance Required,days since last service,36.02222222222222,65.43333333333334,"V01 (Yamaha Ray ZR, 2021) health 17.7/100 → Maintenance Required. Bands are fleet tertiles of maintenance risk (Healthy if risk ≤ 36.0, Maintenance Required if risk > 65.4). Largest contributor: days since last service. Odometer 22820 km; 59 days since service (2026-06-08); cruise vibration 0.0529 g; cruise gyro 3.27 deg/s; vertical bumps 23.29/100 km; 1 driver(s) this week."
V23,Two-Wheeler (Scooter/Motorcycle),Suzuki,Access,2021,2021-01-27,17821,2026-06-16,18,244.54,4,16.990380781450508,272,0.06497640447721774,3.2461588308877936,0.04626470588235294,0.06985294117647059,5,51,90.0,66.66666666666666,66.66666666666666,93.33333333333333,73.33333333333333,80.0,80.33333333333333,19.66666666666667,Maintenance Required,cruise |accel magnitude - 1 g|,36.02222222222222,65.43333333333334,"V23 (Suzuki Access, 2021) health 19.7/100 → Maintenance Required. Bands are fleet tertiles of maintenance risk (Healthy if risk ≤ 36.0, Maintenance Required if risk > 65.4). Largest contributor: cruise |accel magnitude - 1 g|. Odometer 17821 km; 51 days since service (2026-06-16); cruise vibration 0.0650 g; cruise gyro 3.25 deg/s; vertical bumps 16.99/100 km; 4 driver(s) this week."
V10,Two-Wheeler (Scooter/Motorcycle),TVS,Ntorq,2019,2019-01-23,30162,2026-07-01,16,215.13,2,15.00966980215451,320,0.05535507890036824,3.3397277626533484,0.048362499999999996,0.071875,7,36,65.0,93.33333333333333,96.66666666666667,73.33333333333333,100.0,66.66666666666666,80.16666666666666,19.833333333333343,Maintenance Required,median cruise gyro magnitude,36.02222222222222,65.43333333333334,"V10 (TVS Ntorq, 2019) health 19.8/100 → Maintenance Required. Bands are fleet tertiles of maintenance risk (Healthy if risk ≤ 36.0, Maintenance Required if risk > 65.4). Largest contributor: median cruise gyro magnitude. Odometer 30162 km; 36 days since service (2026-07-01); cruise vibration 0.0554 g; cruise gyro 3.34 deg/s; vertical bumps 15.01/100 km; 2 driver(s) this week."
V19,Two-Wheeler (Scooter/Motorcycle),TVS,Ntorq,2021,2021-12-09,17247,2026-06-19,16,154.88,2,26.731161694838207,183,0.0727713612996294,3.0214400540139796,0.05550819672131147,0.07650273224043716,5,48,85.0,63.33333333333333,66.66666666666666,96.66666666666667,16.666666666666664,96.66666666666667,74.89999999999999,25.10000000000001,Maintenance Required,cruise |accel magnitude - 1 g|,36.02222222222222,65.43333333333334,"V19 (TVS Ntorq, 2021) health 25.1/100 → Maintenance Required. Bands are fleet tertiles of maintenance risk (Healthy if risk ≤ 36.0, Maintenance Required if risk > 65.4). Largest contributor: cruise |accel magnitude - 1 g|. Odometer 17247 km; 48 days since service (2026-06-19); cruise vibration 0.0728 g; cruise gyro 3.02 deg/s; vertical bumps 26.73/100 km; 2 driver(s) this week."
V25,Two-Wheeler (Scooter/Motorcycle),Suzuki,Access,2024,2024-11-01,26280,2026-07-03,15,206.6,1,21.17525976769718,283,0.057579998185095,3.290440699967103,0.04692579505300353,0.0812720848056537,2,34,60.0,90.0,23.333333333333332,83.33333333333334,86.66666666666667,90.0,73.53333333333333,26.46666666666667,Maintenance Required,odometer at week start,36.02222222222222,65.43333333333334,"V25 (Suzuki Access, 2024) health 26.5/100 → Maintenance Required. Bands are fleet tertiles of maintenance risk (Healthy if risk ≤ 36.0, Maintenance Required if risk > 65.4). Largest contributor: odometer at week start. Odometer 26280 km; 34 days since service (2026-07-03); cruise vibration 0.0576 g; cruise gyro 3.29 deg/s; vertical bumps 21.18/100 km; 1 driver(s) this week."
V15,Two-Wheeler (Scooter/Motorcycle),TVS,Ntorq,2023,2023-12-04,20041,2026-06-19,15,235.78,1,17.482762820382106,317,0.05202955092578027,3.2902583485191554,0.04534700315457412,0.08517350157728706,3,48,85.0,70.0,36.666666666666664,66.66666666666666,83.33333333333334,83.33333333333334,72.03333333333333,27.96666666666667,Maintenance Required,days since last service,36.02222222222222,65.43333333333334,"V15 (TVS Ntorq, 2023) health 28.0/100 → Maintenance Required. Bands are fleet tertiles of maintenance risk (Healthy if risk ≤ 36.0, Maintenance Required if risk > 65.4). Largest contributor: days since last service. Odometer 20041 km; 48 days since service (2026-06-19); cruise vibration 0.0520 g; cruise gyro 3.29 deg/s; vertical bumps 17.48/100 km; 1 driver(s) this week."
V24,Two-Wheeler (Scooter/Motorcycle),Honda,Activa,2025,2025-09-22,22345,2026-06-20,14,200.39999999999998,1,16.045564900586747,192,0.06171330467100966,3.243917337433709,0.044802083333333326,0.07291666666666667,1,47,80.0,76.66666666666667,10.0,90.0,70.0,73.33333333333333,71.06666666666668,28.933333333333323,Maintenance Required,cruise |accel magnitude - 1 g|,36.02222222222222,65.43333333333334,"V24 (Honda Activa, 2025) health 28.9/100 → Maintenance Required. Bands are fleet tertiles of maintenance risk (Healthy if risk ≤ 36.0, Maintenance Required if risk > 65.4). Largest contributor: cruise |accel magnitude - 1 g|. Odometer 22345 km; 47 days since service (2026-06-20); cruise vibration 0.0617 g; cruise gyro 3.24 deg/s; vertical bumps 16.05/100 km; 1 driver(s) this week."
V13,Two-Wheeler (Scooter/Motorcycle),Bajaj,Pulsar,2025,2025-06-14,22372,2026-07-01,15,201.62,1,19.702008471521758,278,0.05591007095484294,3.1598094512797616,0.04963309352517985,0.08633093525179857,1,36,65.0,80.0,10.0,80.0,50.0,86.66666666666667,65.63333333333334,34.36666666666666,Maintenance Required,vertical bump events / 100 km,36.02222222222222,65.43333333333334,"V13 (Bajaj Pulsar, 2025) health 34.4/100 → Maintenance Required. Bands are fleet tertiles of maintenance risk (Healthy if risk ≤ 36.0, Maintenance Required if risk > 65.4). Largest contributor: vertical bump events / 100 km. Odometer 22372 km; 36 days since service (2026-07-01); cruise vibration 0.0559 g; cruise gyro 3.16 deg/s; vertical bumps 19.70/100 km; 1 driver(s) this week."
